pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7
22623716.9449953,23041241.1332862,22242160.2816039,21249870.5158224,20271704.8237533,23418258.9535521,23999243.4947783
22624082.3362512,23040650.9238641,22242714.4642636,21250110.8263766,20271603.5493542,23417615.6447478,23999605.2061662
22624452.1360037,23040062.8990612,22243268.8354185,21250351.7300098,20271503.0083831,23416967.5777964,23999969.7586308
22624819.4347619,23039473.11047,22243826.6815852,21250591.0241314,20271400.8007165,23416324.4463766,24000331.2239538
22625187.507075,23038884.8601231,22244381.0070939,21250831.2472216,20271300.9075598,23415677.3055411,24000695.2508866
22625558.1350551,23038294.2199239,22244935.6295494,21251072.0379996,20271201.6414307,23415032.0218774,24001057.9570184
22625924.3693048,23037707.0572259,22245490.546774,21251311.4780921,20271100.2632257,23414386.9281651,24001423.4553491
22626294.0058417,23037114.6576682,22246047.2066295,21251552.0709203,20271000.6873895,23413738.0309708,24001782.8263019
22626663.7036564,23036526.3198215,22246602.6177689,21251792.1577478,20270898.9897709,23413093.6392499,24002147.514797
22627030.667543,23035937.8824222,22247158.5390965,21252032.2701394,20270801.3855302,23412447.9546994,24002510.7157395
22627398.8634159,23035347.6873788,22247713.803159,21252272.8342164,20270699.8585417,23411801.4560136,24002876.5215208
22627767.6198298,23034759.2567541,22248269.0690157,21252512.678788,20270599.3328709,23411158.03683,24003239.9935075
22628138.2139756,23034170.6357565,22248826.7461326,21252753.7790611,20270499.8395452,23410513.1052445,24003603.6557996
22628506.5147829,23033580.769424,22249381.2945079,21252993.4115021,20270399.5216834,23409865.4174532,24003968.2688291
22628874.6037486,23032992.2766268,22249937.9054142,21253234.4213723,20270301.8266357,23409219.5930873,24004333.1594905
22629245.2392258,23032402.710977,22250493.3789114,21253474.1896074,20270201.0140482,23408576.5426135,24004697.1415965
22629612.6595369,23031812.9268984,22251051.1283094,21253716.5312807,20270102.1761507,23407930.8438552,24005062.5765868
22629982.3811348,23031227.6990464,22251607.5744281,21253956.9848192,20270004.0977807,23407285.8791478,24005424.8692931
