pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7
22592393.824455,23092087.9916298,22194665.1926357,21229372.9445406,20280744.8883392,23473873.4126838,23968412.4449318
22592754.4099489,23091495.266144,22195214.7699937,21229609.6881708,20280635.5987376,23473226.0486033,23968766.5738608
22593115.3033599,23090902.4236384,22195764.3454885,21229846.3180014,20280526.5454156,23472578.5942534,23969121.0778134
22593476.0161169,23090309.5626669,22196313.932082,21230083.0302069,20280417.7033661,23471931.1742573,23969475.4312034
22593836.7822458,23089716.8618274,22196863.602068,21230319.7262408,20280308.598729,23471283.5382285,23969829.7616636
22594197.8520263,23089124.1818571,22197413.0702815,21230556.4756167,20280199.340795,23470635.9058447,23970184.3579629
22594558.6931877,23088531.366538,22197962.7714154,21230793.5061136,20280090.4872276,23469988.6359471,23970539.1051602
22594919.8092367,23087938.3007106,22198512.8108406,21231030.414947,20279981.7778318,23469341.2478254,23970893.8378597
22595280.8648559,23087345.7439483,22199062.79926,21231267.2548052,20279872.9268475,23468693.8118545,23971248.7097411
22595642.3298828,23086752.9671838,22199612.7106533,21231504.1343501,20279764.4547916,23468046.3689301,23971603.5761729
22596003.5194105,23086160.2904956,22200162.6846477,21231740.9340757,20279655.8564074,23467398.9728054,23971958.5399425
22596365.0898016,23085567.7418241,22200712.700471,21231977.9993122,20279547.3531903,23466751.8259548,23972313.9344636
22596726.6095386,23084975.2294457,22201262.7436862,21232215.1282247,20279438.9526852,23466104.414259,23972669.266703
22597088.0585321,23084382.7690913,22201812.8570818,21232452.3382408,20279330.8166665,23465457.1252624,23973024.7009929
22597449.7149483,23083790.3479869,22202363.1718653,21232689.4499633,20279222.6309462,23464809.8734556,23973380.192818
22597811.6182029,23083198.1598924,22202913.4859478,21232926.8867117,20279114.8554065,23464162.6631761,23973735.7003154
22598173.3628536,23082605.9201563,22203463.8551504,21233164.0433421,20279007.2380577,23463515.3557544,23974091.2025312
22598535.3987267,23082013.5817219,22204014.3879692,21233401.5418337,20278899.5517841,23462868.0943929,23974447.0983857
22598897.3777883,23081421.5112577,22204565.0006144,21233638.8589134,20278791.8141777,23462220.6438509,23974803.0794508
22599259.5245237,23080829.3373376,22205115.5435575,21233876.2101442,20278684.0755425,23461573.1592298,23975159.0422381
22599621.9396225,23080236.9976684,22205666.034841,21234113.9697923,20278576.5312344,23460925.8139814,23975515.1994905
22599984.5970787,23079644.7998876,22206216.7466967,21234351.512066,20278468.9588557,23460278.7083004,23975871.6148147
22600347.0302165,23079052.941204,22206767.6967177,21234589.1143453,20278361.7477416,23459631.5825394,23976227.9728819
22600709.4257851,23078461.0584682,22207318.5125261,21234826.7523867,20278254.4917078,23458984.3020011,23976584.4384029
22601071.9759278,23077868.9684128,22207869.6991344,21235064.3586186,20278147.418865,23458337.5058491,23976940.8219154
22601434.5978542,23077277.1200542,22208420.6714147,21235301.965108,20278040.2944122,23457690.4045216,23977297.1848114
22601797.3842133,23076685.3041483,22208971.8224543,21235539.6470763,20277933.4724643,23457043.4009775,23977654.0192208
22602160.3125166,23076093.3362923,22209523.0685436,21235777.2982244,20277826.6871392,23456396.1987947,23978010.9472404
22602523.2992802,23075501.6125708,22210074.4058042,21236014.9521463,20277719.8337798,23455749.2151103,23978367.9744241
22602885.9859945,23074909.6677871,22210625.7379472,21236252.8111638,20277613.1295024,23455102.4079,23978724.8609355
22603248.9469783,23074317.8757466,22211177.3985087,21236490.5283781,20277506.5218431,23454455.3726699,23979081.9547969
22603612.1354057,23073726.0794952,22211728.775382,21236728.2950363,20277399.9592368,23453808.29835,23979439.2349718
22603975.1759486,23073134.3272194,22212280.1741895,21236966.0525735,20277293.2966915,23453161.0061787,23979796.6028135
22604338.5966232,23072542.72799,22212831.7652287,21237203.6050601,20277187.0617532,23452514.0538947,23980154.1143477
22604702.0292713,23071951.3243589,22213383.3040102,21237441.8558135,20277080.9030207,23451867.4365975,23980511.5345567
22605065.6640797,23071359.7557473,22213934.9905407,21237679.7707851,20276974.9188402,23451220.4909905,23980869.237237
22605429.4452127,23070768.0325828,22214486.7034912,21237917.6313796,20276868.9447556,23450573.5426591,23981226.868682
